cell,rep,B,pick,ref_pick,agree,regret,regret_pos,regret_se,zero,top
P2,20,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,20,1000,10.0,11.0,False,-0.00012730962599462296,0.0,9.96969669910247e-05,False,False
P2,20,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,20,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,20,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,21,250,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,21,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,21,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,21,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,21,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,21,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,22,250,11.0,10.0,False,-6.499969235044239e-05,0.0,0.00010924613209977544,False,False
P2,22,500,11.0,10.0,False,-6.499969235044239e-05,0.0,0.00010924613209977544,False,False
P2,22,1000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,22,2000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,22,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,22,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,23,250,10.0,11.0,False,5.8780494371426666e-05,5.8780494371426666e-05,0.00010462757776277019,False,False
P2,23,500,10.0,11.0,False,5.8780494371426666e-05,5.8780494371426666e-05,0.00010462757776277019,False,False
P2,23,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,23,2000,10.0,11.0,False,5.8780494371426666e-05,5.8780494371426666e-05,0.00010462757776277019,False,False
P2,23,4000,10.0,11.0,False,5.8780494371426666e-05,5.8780494371426666e-05,0.00010462757776277019,False,False
P2,23,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,24,250,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,24,500,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,24,1000,11.0,10.0,False,0.00013560830545931326,0.00013560830545931326,0.00010542994525847491,False,False
P2,24,2000,11.0,10.0,False,0.00013560830545931326,0.00013560830545931326,0.00010542994525847491,False,False
P2,24,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,24,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,25,250,11.0,10.0,False,0.00010727437536057857,0.00010727437536057857,0.00010226937637197419,False,False
P2,25,500,11.0,10.0,False,0.00010727437536057857,0.00010727437536057857,0.00010226937637197419,False,False
P2,25,1000,11.0,10.0,False,0.00010727437536057857,0.00010727437536057857,0.00010226937637197419,False,False
P2,25,2000,11.0,10.0,False,0.00010727437536057857,0.00010727437536057857,0.00010226937637197419,False,False
P2,25,4000,11.0,10.0,False,0.00010727437536057857,0.00010727437536057857,0.00010226937637197419,False,False
P2,25,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,26,250,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,26,500,10.0,10.0,True,0.0,0.0,0.0,False,False
